PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Daniel Fells, NYG TE		WA (Wed)			Dal	L 28-31		0/0	0	0	0		0	0	0		3	35	0	4		0	0	0		3
Nick Folk, NYJ K		WA (Wed)			@Buf	L 3-38		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		3
DeSean Jackson, Wsh WR		BALS			@SF	L 13-17		0/0	0	0	0		0	0	0		2	39	0	5		0	0	0		3
Martellus Bennett, Chi TE		Solo			TB	W 21-13		0/0	0	0	0		0	0	0		4	37	0	7		0	0	0		3
Pierre Garcon, Wsh WR		Solo			@SF	L 13-17		0/1	0	0	0		0	0	0		3	34	0	4		0	0	0		3
Marcel Reece, Oak RB		WA (Wed)			KC	W 24-20		0/0	0	0	0		8	37	0		1	8	0	5		0	0	0		3
Kenny Britt, StL WR		WA (Wed)			@SD	L 24-27		0/0	0	0	0		0	0	0		2	37	0	6		0	0	0		3
Brian Hartline, Mia WR		WA (Wed)			@Den	L 36-39		0/0	0	0	0		0	0	0		2	39	0	2		0	0	0		3
Jermaine Gresham, Cin TE		WA (Wed)			@Hou	W 22-13		0/0	0	0	0		0	0	0		4	33	0	6		0	0	0		3
Tony Moeaki, Sea TE		WA (Wed)			Ari	W 19-3		0/0	0	0	0		0	0	0		4	34	0	4		0	0	0		3
Chris Ivory, NYJ RB  P		LIND			@Buf	L 3-38		0/0	0	0	0		7	31	0		3	7	0	3		0	0	0		3
Mark Ingram, NO RB  P		BOSS			Bal	L 27-34		0/0	0	0	0		11	27	0		2	15	0	2		0	0	0		3
Vincent Brown, Oak WR		WA (Wed)			KC	W 24-20		0/0	0	0	0		0	0	0		2	30	0	4		0	0	0		3
Jeremy Ross, Det WR		WA (Wed)			@NE	L 9-34		0/0	0	0	0		0	0	0		3	35	0	5		0	0	0		3
Robert Griffin, Wsh QB		WA (Wed)			@SF	L 13-17		11/19/2014	106	0	0		4	11	0		0	0	0	0		0	1	0		3
Ladarius Green, SD TE		WA (Wed)			StL	W 27-24		0/0	0	0	0		0	0	0		2	34	0	3		0	0	0		3
Rueben Randle, NYG WR		CHB			Dal	L 28-31		0/0	0	0	0		0	0	0		3	36	0	3		0	0	0		3
Joe Banyard, Min RB		WA (Wed)			GB	L 21-24		0/0	0	0	0		5	26	0		3	19	0	3		0	0	0		3
DeAndre Hopkins, Hou WR		BOSS			Cin	L 13-22		0/0	0	0	0		0	0	0		5	39	0	9		0	0	0		3
Zach Ertz, Phi TE  P		LIND			Ten	W 43-24		0/0	0	0	0		0	0	0		4	30	0	6		0	0	0		3
Geno Smith, NYJ QB  P		WA (Wed)			@Buf	L 3-38		10/12/2014	89	0	0		2	4	0		0	0	0	0		0	0	0		3
